boundary_key,boundary_names_seen,school_id,matched_rcdts,matched_isbe_name,match_method,n_rc_years_covered,isbe_missing_rc_years,boundary_vintages_seen,addresses_seen
ALCOTT,ALCOTT|ALCOTT ES,609774,150162990252053,ALCOTT ELEM SCHOOL,exact,20,,SY0607|SY0708,"2625 N ORCHARD ST|2625 N ORCHARD ST  CHICAGO, IL 60614"
BLAINE,BLAINE,609803,150162990252087,BLAINE ELEM SCHOOL,exact,20,,SY0607|SY0708,"1420 W GRACE ST|1420 W GRACE ST  CHICAGO, IL 60613"
BRENNEMANN,BRENNEMANN,610242,150162990252093,BRENNEMANN ELEM SCHOOL,exact,20,,SY0607|SY0708,"4251 N CLARENDON AV|4251 N CLARENDON AVE  CHICAGO, IL 60613"
BURLEY,BURLEY,609820,150162990252104,BURLEY ELEM SCHOOL,exact,20,,SY0607|SY0708,"1630 W BARRY AV|1630 W BARRY AVE  CHICAGO, IL 60657"
BURR,BURR,609828,150162990252108,BURR ELEM SCHOOL,exact,20,,SY0607|SY0708,"1621 W WABANSIA AV|1621 W WABANSIA AVE  CHICAGO, IL 60622"
CARPENTER,CARPENTER,609838,150162990252121,CARPENTER ELEM SCHOOL,exact,6,2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,SY0607|SY0708,1250 W ERIE ST
COONLEY,COONLEY,609866,150162990252141,COONLEY ELEM SCHOOL,exact,20,,SY0607|SY0708,"4046 N LEAVITT ST|4046 N LEAVITT ST  CHICAGO, IL 60618"
GREELEY,GREELEY,609850,150162990252227,GREELEY ELEM SCHOOL,exact,20,,SY0607|SY0708,"832 W SHERIDAN RD|832 W SHERIDAN RD  CHICAGO, IL 60613"
HAMILTON,HAMILTON,609963,150162990252240,HAMILTON ELEM SCHOOL,exact,20,,SY0607|SY0708,"1650 W CORNELIA AV|1650 W CORNELIA AVE  CHICAGO, IL 60657"
JAHN,JAHN,610010,150162990252284,JAHN ELEM SCHOOL,exact,20,,SY0607|SY0708,"3149 N WALCOTT AV|3149 N WOLCOTT AV|3149 N WOLCOTT AVE  CHICAGO, IL 60657"
JENNER,JENNER,610012,150162990252287,JENNER ELEM ACADEMY OF THE ARTS,prefix,13,2019|2020|2021|2022|2023|2024|2025,SY0607|SY0708,"1009 N CLEVELAND AV|1119 N CLEVELAND AV|1119 N CLEVELAND AVE  CHICAGO, IL 60610"
LEMOYNE,LEMOYNE,,150162990252310,LEMOYNE ELEM SCHOOL,exact,2,2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,SY0607,851 W WAVELAND AV
LINCOLN,LINCOLN,610038,150162990252314,LINCOLN ELEM SCHOOL,exact,20,,SY0607|SY0708,"615 W KEMPER PL|615 W KEMPER PL  CHICAGO, IL 60614"
MANIERRE,MANIERRE,610048,150162990252326,MANIERRE ELEM SCHOOL,exact,20,,SY0607|SY0708,"1420 N HUDSON AV|1420 N HUDSON AVE, CHICAGO IL, 60610"
MAYER,MAYER,610059,150162990252337,MAYER ELEM SCHOOL,exact,20,,SY0607|SY0708,"2250 N CLIFTON AV|2250 N CLIFTON AVE  CHICAGO, IL 60614"
NETTELHORST,NETTELHORST,610094,150162990252370,NETTELHORST ELEM SCHOOL,exact,20,,SY0607|SY0708,"3252 N BROADWAY AV|3252 N BROADWAY ST  CHICAGO, IL 60657"
OGDEN,OGDEN|OGDEN ES,610101,150162990252380,OGDEN ELEM SCHOOL,exact,20,,SY0607|SY0708,"24 W WALSTED ST|24 W WALTON ST|24 W WALTON ST  CHICAGO, IL 60610|24 W. WALTON AV"
PRESCOTT,PRESCOTT,610136,150162990252410,PRESCOTT ELEM SCHOOL,exact,20,,SY0607|SY0708,"1632 W WRIGHTWOOD AV|1632 W WRIGHTWOOD AVE  CHICAGO, IL 60614|1632 W WRIGTHWOOD AV"
PULASKI COMM ACAD,PULASKI|PULASKI COMM ACAD,610138,150162990252413,PULASKI ELEM FINE ARTS ACADEMY,prefix,20,,SY0607|SY0708,"2230 W MCLEAN AV|2230 W MCLEAN AVE  CHICAGO, IL 60647"
RAVENSWOOD,RAVENSWOOD,610141,150162990252416,RAVENSWOOD ELEM SCHOOL,exact,20,,SY0607|SY0708,"4332 N PAULINA ST|4332 N PAULINA ST  CHICAGO, IL 60613"
SCHILLER,SCHILLER,610162,150162990252440,SCHILLER ELEM SCHOOL,exact,4,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,SY0607|SY0708,640 W SCOTT ST
SOUTH LOOP,SOUTH LOOP,609990,150162990252855,SOUTH LOOP ELEM SCHOOL,exact,20,,SY0607|SY0708,"1212 S PLAYMOUTH CT|1212 S PLYMOUTH CT|1212 S PLYMOUTH CT  CHICAGO, IL 60605|1601 S DEARBORN ST, CHICAGO, IL 60616"
STEWART,STEWART,610187,150162990252466,STEWART ELEM SCHOOL,exact,8,2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,SY0607|SY0708,4525 N KENMORE AV
